OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HORIZON (RS59S),2024-199Y,2025-06-26T02:38:58.526304,15.38565918,.0012503,97.3532,46.5875,115.8417,244.4119,0,U,61757,999,8268,.49461E-3,.1882E-3,0
SIT-2086,2024-199AF,2025-06-26T02:17:09.549888,15.36247672,.0010147,97.3515,46.2374,120.7869,239.4375,0,U,61764,999,7950,.23468E-3,.8224E-4,0
MORDOVIA-IOT (RS50S),2024-199AG,2025-06-26T01:21:18.678816,15.42689559,.0011763,97.3509,47.2401,111.9424,248.3075,0,U,61765,999,7957,.63098E-3,.27562E-3,0
RUZAEVKA 390 (RS44S),2024-199AH,2025-06-26T02:02:01.820256,15.41254870,.0011852,97.3510,47.0473,111.8192,248.4317,0,U,61766,999,7956,.54602E-3,.22712E-3,0
HYPERVIEW 1G (RS66S),2024-199AP,2025-06-26T02:17:12.824448,15.36035776,.0015079,97.3511,45.9235,129.5578,230.7001,0,U,61772,999,7949,.43792E-3,.15356E-3,0
ALTAIR (RS65S),2024-199AW,2025-06-26T02:18:48.166848,15.29144050,.0016774,97.3535,44.7594,134.4767,225.7848,0,U,61779,999,8256,.18506E-3,.518E-4,0
ASRTU-1 (AO-123),2024-199AY,2025-06-26T01:52:06.008448,15.28542368,.0017049,97.3526,44.6148,135.1138,225.1484,0,U,61781,999,7940,.16822E-3,.4615E-4,0
TUSUR GO (RS78S),2024-199AZ,2025-06-26T01:26:02.434560,15.37326428,.0015377,97.3504,45.9665,128.8395,231.4225,0,U,61782,999,7949,.50143E-3,.18352E-3,0
SAMSAT-IONOSPHERE (RS75S),2024-199BB,2025-06-26T01:54:27.440928,15.33889155,.0016135,97.3518,45.5065,131.6344,228.6284,0,U,61784,999,8261,.3834E-3,.12547E-3,0
RTU MIREA 1 (RS51S),2024-199BC,2025-06-26T02:40:55.053120,15.34364422,.0015902,97.3516,45.6125,130.0910,230.1729,0,U,61785,999,7947,.41394E-3,.13759E-3,0
HADES-R,2025-009CK,2025-06-25T12:08:58.432704,15.30063269,.0002979,97.4097,257.2585,70.2970,289.8592,0,U,62690,999,2458,.71009E-3,.20621E-3,0
HADES-ICM,2025-052BN,2025-06-24T22:24:06.236064,15.23434283,.0010543,97.4309,69.8739,331.3092,28.7563,0,U,63492,999,1559,.66642E-3,.15845E-3,0
